Name,Event,RawTime,ReactionTime,Wind,Altitude,WindLegal,Normalized100m
Marcell Jacobs,100m,9.8,0.161,0.1,30,YES,9.7433
Noah Lyles,100m,9.7900,0.1780,1.0000,43.0000,YES,9.7570
Letsile Tebogo,200m,19.4600,0.1620,0.4000,43.0000,YES,9.8348
Andre De Grasse,200m,19.6200,0.1350,-0.5000,30.0000,YES,9.8877
E. Thompson-Herah,100m,10.6100,0.1500,-0.6000,30.0000,YES,10.5294
Julien Alfred,100m,10.7200,0.1440,0.1000,43.0000,YES,10.6814
E. Thompson-Herah,200m,21.5300,0.1730,0.8000,30.0000,YES,10.9069
Gabby Thomas,200m,21.8300,0.1650,-0.6000,43.0000,YES,10.9853
Quincy Hall,400m,43.4000,0.1500,0.0000,43.0000,YES,11.8704
Steven Gardiner,400m,43.8500,0.1790,0.0000,30.0000,YES,11.9846
M. Paulino,400m,48.1700,0.1870,0.0000,43.0000,YES,13.1657
S. Miller-Uibo,400m,48.3600,0.1620,0.0000,30.0000,YES,13.2259
