Games,Event,Winner,Racial Group,Total (s),RT (s),Eff. Time*,Lane,Radius (m),Wind (m/s),Alt (m),Temp/Humid,Track Surface
Paris '24,100m,Noah Lyles,Black,9.79,0.178,9.612,7,Straight,1,43,21°C / 58%,Mondo Ellipse
Paris '24,100m,Julien Alfred,Black,10.72,0.144,10.576,6,Straight,0.1,43,22°C / 62%,Mondo Ellipse
Paris '24,200m,Letsile Tebogo,Black,19.46,0.162,19.298,7,43.82,0.4,43,23°C / 55%,Mondo Ellipse
Paris '24,200m,Gabby Thomas,Black,21.83,0.165,21.665,7,43.82,-0.6,43,21°C / 60%,Mondo Ellipse
Paris '24,400m,Quincy Hall,Black,43.4,0.15,43.25,8,45.04,0,43,22°C / 57%,Mondo Ellipse
Paris '24,400m,M. Paulino,Black,48.17,0.187,47.983,6,42.6,0,43,24°C / 52%,Mondo Ellipse
Tokyo '20,100m,Marcell Jacobs,Mixed,9.8,0.161,9.639,3,Straight,0.1,30,31°C / 75%,Mondotrack WS
Tokyo '20,100m,E. Thompson-Herah,Black,10.61,0.15,10.46,4,Straight,-0.6,30,30°C / 78%,Mondotrack WS
Tokyo '20,200m,Andre De Grasse,Black,19.62,0.135,19.485,6,42.6,-0.5,30,29°C / 82%,Mondotrack WS
Tokyo '20,200m,E. Thompson-Herah,Black,21.53,0.173,21.357,7,43.82,0.8,30,30°C / 79%,Mondotrack WS
Tokyo '20,400m,Steven Gardiner,Black,43.85,0.179,43.671,7,43.82,0,30,28°C / 85%,Mondotrack WS
Tokyo '20,400m,S. Miller-Uibo,Black,48.36,0.162,48.198,7,43.82,0,30,29°C / 83%,Mondotrack WS
